grid_row,grid_col,lon_center,lat_center,lon_left,lon_right,lat_bottom,lat_top,dominant_land_cover_code,dominant_land_cover_label,dominant_land_cover_share_pct,land_cover_pixel_count,land_cover_10_count,land_cover_10_share_pct,land_cover_20_count,land_cover_20_share_pct,land_cover_30_count,land_cover_30_share_pct,land_cover_40_count,land_cover_40_share_pct,land_cover_50_count,land_cover_50_share_pct,land_cover_60_count,land_cover_60_share_pct,land_cover_70_count,land_cover_70_share_pct,land_cover_80_count,land_cover_80_share_pct,land_cover_90_count,land_cover_90_share_pct,land_cover_95_count,land_cover_95_share_pct,land_cover_100_count,land_cover_100_share_pct,quality_band_1_mean,quality_band_1_count,quality_band_2_mean,quality_band_2_count,quality_band_3_mean,quality_band_3_count
49,104,98.96080922,18.79894661,98.96033475,98.96128369,18.79849745,18.79939576,50,Built-up,73.553719,121,32,26.446281,0,0.000000,0,0.000000,0,0.000000,89,73.553719,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.500000,4
49,105,98.96175815,18.79894661,98.96128369,98.96223262,18.79849745,18.79939576,50,Built-up,91.666667,132,11,8.333333,0,0.000000,0,0.000000,0,0.000000,121,91.666667,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,2,52.000000,2,25.500000,2
49,106,98.96270709,18.79894661,98.96223262,98.96318155,18.79849745,18.79939576,50,Built-up,62.809917,121,1,0.826446,0,0.000000,18,14.876033,0,0.000000,76,62.809917,26,21.487603,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.000000,4
49,107,98.96365602,18.79894661,98.96318155,98.96413049,18.79849745,18.79939576,50,Built-up,69.696970,132,0,0.000000,0,0.000000,30,22.727273,0,0.000000,92,69.696970,10,7.575758,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.500000,4
49,108,98.96460496,18.79894661,98.96413049,98.96507942,18.79849745,18.79939576,50,Built-up,92.561983,121,9,7.438017,0,0.000000,0,0.000000,0,0.000000,112,92.561983,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,26.250000,4
49,109,98.96555389,18.79894661,98.96507942,98.96602836,18.79849745,18.79939576,50,Built-up,87.603306,121,15,12.396694,0,0.000000,0,0.000000,0,0.000000,106,87.603306,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.500000,4
49,110,98.96650282,18.79894661,98.96602836,98.96697729,18.79849745,18.79939576,50,Built-up,67.424242,132,43,32.575758,0,0.000000,0,0.000000,0,0.000000,89,67.424242,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,24.250000,4
49,111,98.96745176,18.79894661,98.96697729,98.96792623,18.79849745,18.79939576,50,Built-up,100.000000,121,0,0.000000,0,0.000000,0,0.000000,0,0.000000,121,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.000000,4
49,112,98.96840069,18.79894661,98.96792623,98.96887516,18.79849745,18.79939576,50,Built-up,98.484848,132,2,1.515152,0,0.000000,0,0.000000,0,0.000000,130,98.484848,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.500000,4
49,113,98.96934963,18.79894661,98.96887516,98.96982409,18.79849745,18.79939576,50,Built-up,68.595041,121,38,31.404959,0,0.000000,0,0.000000,0,0.000000,83,68.595041,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.250000,4
49,114,98.97029856,18.79894661,98.96982409,98.97077303,18.79849745,18.79939576,50,Built-up,77.685950,121,27,22.314050,0,0.000000,0,0.000000,0,0.000000,94,77.685950,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,25.000000,4
49,115,98.97124750,18.79894661,98.97077303,98.97172196,18.79849745,18.79939576,50,Built-up,98.484848,132,2,1.515152,0,0.000000,0,0.000000,0,0.000000,130,98.484848,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,2,52.000000,2,26.000000,2
49,116,98.97219643,18.79894661,98.97172196,98.97267090,18.79849745,18.79939576,50,Built-up,70.247934,121,25,20.661157,0,0.000000,11,9.090909,0,0.000000,85,70.247934,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,26.000000,4
49,117,98.97314537,18.79894661,98.97267090,98.97361983,18.79849745,18.79939576,50,Built-up,92.561983,121,9,7.438017,0,0.000000,0,0.000000,0,0.000000,112,92.561983,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,26.500000,4
49,118,98.97409430,18.79894661,98.97361983,98.97456877,18.79849745,18.79939576,50,Built-up,65.151515,132,45,34.090909,0,0.000000,0,0.000000,1,0.757576,86,65.151515,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,32.000000,4
49,119,98.97504323,18.79894661,98.97456877,98.97551770,18.79849745,18.79939576,50,Built-up,99.173554,121,1,0.826446,0,0.000000,0,0.000000,0,0.000000,120,99.173554,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,32.000000,4
49,120,98.97599217,18.79894661,98.97551770,98.97646664,18.79849745,18.79939576,50,Built-up,96.212121,132,5,3.787879,0,0.000000,0,0.000000,0,0.000000,127,96.212121,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,32.000000,4
49,121,98.97694110,18.79894661,98.97646664,98.97741557,18.79849745,18.79939576,10,Tree cover,63.636364,121,77,63.636364,0,0.000000,0,0.000000,0,0.000000,44,36.363636,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,31.000000,4
49,122,98.97789004,18.79894661,98.97741557,98.97836450,18.79849745,18.79939576,50,Built-up,95.041322,121,6,4.958678,0,0.000000,0,0.000000,0,0.000000,115,95.041322,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,34.000000,4
49,123,98.97883897,18.79894661,98.97836450,98.97931344,18.79849745,18.79939576,50,Built-up,74.242424,132,34,25.757576,0,0.000000,0,0.000000,0,0.000000,98,74.242424,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,36.000000,4
49,124,98.97978791,18.79894661,98.97931344,98.98026237,18.79849745,18.79939576,50,Built-up,61.157025,121,47,38.842975,0,0.000000,0,0.000000,0,0.000000,74,61.157025,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,36.000000,4
49,125,98.98073684,18.79894661,98.98026237,98.98121131,18.79849745,18.79939576,50,Built-up,56.060606,132,58,43.939394,0,0.000000,0,0.000000,0,0.000000,74,56.060606,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,2,52.000000,2,34.000000,2
49,126,98.98168577,18.79894661,98.98121131,98.98216024,18.79849745,18.79939576,50,Built-up,93.388430,121,8,6.611570,0,0.000000,0,0.000000,0,0.000000,113,93.388430,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,37.500000,4
49,127,98.98263471,18.79894661,98.98216024,98.98310918,18.79849745,18.79939576,50,Built-up,98.347107,121,2,1.652893,0,0.000000,0,0.000000,0,0.000000,119,98.347107,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,40.000000,4
49,128,98.98358364,18.79894661,98.98310918,98.98405811,18.79849745,18.79939576,50,Built-up,100.000000,132,0,0.000000,0,0.000000,0,0.000000,0,0.000000,132,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,36.500000,4
49,129,98.98453258,18.79894661,98.98405811,98.98500704,18.79849745,18.79939576,50,Built-up,98.347107,121,2,1.652893,0,0.000000,0,0.000000,0,0.000000,119,98.347107,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,38.500000,4
49,130,98.98548151,18.79894661,98.98500704,98.98595598,18.79849745,18.79939576,50,Built-up,97.520661,121,3,2.479339,0,0.000000,0,0.000000,0,0.000000,118,97.520661,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,37.500000,4
49,131,98.98643045,18.79894661,98.98595598,98.98690491,18.79849745,18.79939576,50,Built-up,100.000000,132,0,0.000000,0,0.000000,0,0.000000,0,0.000000,132,100.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,58.000000,4,52.000000,4,33.500000,4
